Complexity,Loss,Equation
1,7074.2007,"824.2017"
3,4148.028,"Elast_ESD_Driver * 822.9206"
4,4131.0044,"exp(Elast_ESD_Driver) * 302.69507"
6,4130.6494,"(Elast_ESD_Driver - -301.6885) * exp(Elast_ESD_Driver)"
8,3945.3079,"exp(Elast_ESD_Driver) * ((Clim_Sens * 18.83167) - -227.49327)"
10,1515.0942,"exp(Elast_ESD_Driver) * ((Clim_Sens * (24.721975 * GDP)) - -219.25813)"
11,1474.16,"Elast_ESD_Driver * ((GDP * (Clim_Sens * (GDP * 61.898087))) - -600.849)"
12,1464.6635,"((((GDP * Clim_Sens) * GDP) * 22.70148) - -220.39937) * exp(Elast_ESD_Driver)"
14,1434.0125,"exp(Elast_ESD_Driver) * ((((Clim_Sens * GDP) * 18.832066) * (Biomass_Poten * GDP)) - -227.49327)"
16,1433.1019,"(exp(Elast_ESD_Driver) * (((GDP * (Clim_Sens * 18.83167)) * (GDP * Biomass_Poten)) - -227.49327)) - Biomass_Poten"
17,1430.8575,"((((sin(Biomass_Poten) * Clim_Sens) * ((GDP * 20.455967) * 1.2966787)) - -221.87729) * exp(Elast_ESD_Driver)) - Forcing"
18,1405.4706,"exp(Elast_ESD_Driver) * ((((Clim_Sens * 26.713017) - (-145.94456 - ((GDP * 135.29178) - SDR))) + Elast_ESD_Driver) + -69.45875)"
24,1354.3367,"(((((172.64624 - sin(Oil_Gas_Poten)) + (exp(Clim_Sens) + (GDP * (exp(Clim_Sens - 0.07810087) - -172.6967)))) + 424.17587) - Clim_Sens) * Elast_ESD_Driver) - 2.0135763"
26,1076.5953,"(Elast_ESD_Driver * ((342.67697 - (sin(Clim_Sens) + Wind_Poten)) + (exp(Clim_Sens) + (((exp(Clim_Sens - (1.0272814 - Biomass_Poten)) - -378.00052) * GDP) + -22.51818)))) - -36.006054"
