Complexity,Loss,Equation
1,7074.202,"824.1879"
3,7007.8193,"Clim_Sens - -821.038"
4,5138.6377,"exp(Clim_Sens) - -794.4708"
5,4618.7783,"(Clim_Sens * 73.46538) + 593.6724"
6,4520.727,"(exp(Clim_Sens) * 1.9681883) + 765.7047"
7,4337.7437,"((GDP * 71.766075) * Clim_Sens) + 582.49786"
9,4248.3667,"(670.7357 / Clim_Sens) + ((GDP + Clim_Sens) * 142.61606)"
10,4185.693,"(exp(Clim_Sens) * 2.028048) + (409.94385 - (GDP * -329.5469))"
11,4158.5386,"(((559.71014 / Clim_Sens) + 136.334) * (Clim_Sens + GDP)) + -513.1018"
13,4078.0942,"(GDP + Clim_Sens) * (((-27.81848 + (72.29958 / Clim_Sens)) * SDR) - -210.47795)"
15,3884.457,"((GDP + Clim_Sens) * ((SDR * ((95.288475 / Clim_Sens) + -33.899906)) - -248.83406)) - 171.79779"
17,3875.0273,"((GDP + Clim_Sens) * (((GDP + ((93.64863 / Clim_Sens) + -34.479862)) * SDR) - -246.20804)) - 160.1526"
19,3852.4934,"(((GDP + Clim_Sens) * ((SDR * ((85.865814 / Clim_Sens) + -31.034008)) - -233.49211)) - (120.58026 / GDP)) - -8.327503"
21,3847.263,"(((GDP + Clim_Sens) * ((SDR * ((86.06036 / Clim_Sens) + (SDR + -39.059586))) - -249.44467)) - (119.86756 / GDP)) - -5.477563"
23,3845.3667,"((GDP + Clim_Sens) * ((SDR * ((82.72399 / Clim_Sens) + -30.151894)) - -228.56287)) - ((((136.09653 / GDP) - 23.921036) / Pop) - 20.471413)"
24,3842.8125,"(((Clim_Sens + GDP) * ((((85.136894 / Clim_Sens) + (-31.896914 + GDP)) * SDR) - -232.31772)) - ((106.8636 / GDP) / Pop)) + cos(Clim_Sens)"
25,3834.1028,"(((SDR * ((71.575356 / Clim_Sens) + -27.225956)) - -226.14534) * (Clim_Sens + GDP)) - ((((126.986885 / GDP) - SDR) - Clim_Sens) - (155.69547 / Clim_Sens))"
