Complexity,Loss,Equation
1,7.0930595,"32.83936"
3,7.0129495,"GDP + 31.76571"
4,6.8755636,"exp(GDP) + 29.90731"
5,6.535778,"(GDP * 13.391972) + 18.45496"
7,6.531137,"(Pop + 17.421183) - (GDP * -13.4090605)"
9,6.526006,"((-3.6838608 / Pop) - (GDP * -13.437331)) + 22.03839"
10,6.523739,"46.119507 - ((15.056932 / GDP) + cos(Clim_Sens * -0.8847741))"
11,6.517848,"((-14.5053005 - cos(sin(SDR * SDR))) / GDP) + 47.090454"
13,6.513031,"((-14.5053005 - cos(sin(SDR * (-0.781348 - GDP)))) / GDP) + 47.090454"
15,6.4598837,"Pop + (((-15.345955 / GDP) - cos(sin(SDR / (Clim_Sens - 1.2275075)))) - -46.835297)"
17,6.457515,"(46.634953 - (15.054144 / GDP)) + (Pop - cos(cos((Clim_Sens / (-1.4237671 / Clim_Sens)) - -0.4925389)))"
19,6.4568458,"(((46.249416 - (15.17353 / GDP)) + 1.5787393) - cos(sin((Clim_Sens / (1.1333375 - Clim_Sens)) * 5.345477))) - 0.10152638"
21,6.3975897,"((58.738358 - ((18.555994 / GDP) + -0.10695335)) + 0.6126947) - (cos((Clim_Sens * 57.82305) / sin(Clim_Sens - -64.78099)) - -9.383739)"
26,6.368955,"((Pop + (GDP / (cos(Clim_Sens) - 1.9764942))) + (58.738358 - (18.555994 / GDP))) - (cos((Clim_Sens * 57.82305) / sin(Clim_Sens - -64.78099)) - -9.383739)"
27,6.3380966,"(sin(GDP) / (cos(Clim_Sens) - 1.9764562)) + ((Pop + (58.738136 - (18.55619 / GDP))) - (cos((Clim_Sens * 57.823288) / sin(Clim_Sens - -64.78122)) - -9.38396))"
