Complexity,Loss,Equation
1,68.695816,"40.290493"
3,25.382372,"Clim_Sens * 12.7193575"
5,13.90594,"Elast_ESD_Driver * (Clim_Sens * 12.731031)"
7,10.440417,"Elast_ESD_Driver * ((Clim_Sens * 10.031753) + 8.866449)"
8,4.565011,"Elast_ESD_Driver * (exp(Clim_Sens * 0.74775016) - -28.361803)"
10,3.392902,"((Elast_ESD_Driver * exp(0.7477502 * Clim_Sens)) - -28.361803) * Elast_ESD_Driver"
11,3.3832207,"Elast_ESD_Driver * (exp((Clim_Sens * 0.7377215) + log(GDP)) - -27.95437)"
12,2.5100358,"((Elast_ESD_Driver * exp((Clim_Sens * 0.54835004) + GDP)) - -22.382812) * Elast_ESD_Driver"
13,2.095466,"((Elast_ESD_Driver * exp((Clim_Sens * 0.7377215) + log(GDP))) - -27.95437) * Elast_ESD_Driver"
17,2.0349731,"(exp(log(GDP) + (((Other_ESD_Drivers + (Elast_ESD_Driver + -2.0883794)) + Clim_Sens) * 0.75176144)) - -28.01179) * Elast_ESD_Driver"
18,2.0337682,"(exp(log(GDP + (Elast_ESD_Driver + -1.4324983)) + ((Clim_Sens * 0.51061755) + log(Clim_Sens))) - -28.756851) * Elast_ESD_Driver"
19,1.779109,"Elast_ESD_Driver * (exp(((Elast_ESD_Driver + ((Elast_ESD_Driver + -1.4720576) + Clim_Sens)) * 0.7691374) + log(GDP + -0.4694528)) - -28.47281)"
21,1.7647924,"(Elast_ESD_Driver * (exp(((Elast_ESD_Driver + (Elast_ESD_Driver + (Clim_Sens + -1.6705339))) * 0.7936962) + log(GDP + -0.45711488)) - -27.398283)) - -1.5051723"
23,1.686054,"(exp(log(Elast_ESD_Driver) + ((log(log(Other_ESD_Drivers + (GDP + Elast_ESD_Driver))) + GDP) + ((Clim_Sens + -1.6964965) * 0.7708763))) - -28.432419) * Elast_ESD_Driver"
25,1.662336,"(exp(log(Elast_ESD_Driver) + (GDP + (log((GDP / (Clim_Sens * 0.21909963)) + log(Clim_Sens)) + ((Clim_Sens * 0.71875226) + -1.8205271)))) - -26.392752) * Elast_ESD_Driver"
27,1.5554211,"Elast_ESD_Driver * (exp(log(Elast_ESD_Driver) + ((GDP + -1.2659249) + ((Clim_Sens * 0.63613147) + log((GDP + ((Clim_Sens * 0.24263337) + -0.12455022)) + log(Other_ESD_Drivers))))) - -28.257536)"
28,1.4047807,"Elast_ESD_Driver * (exp(log(Elast_ESD_Driver) + ((log((log(Other_ESD_Drivers) + (GDP / (Clim_Sens * 0.22518355))) + log(Clim_Sens)) + (GDP + (Clim_Sens * 0.7118845))) + -1.770666)) - -26.27096)"
30,1.3916149,"((exp((log(Elast_ESD_Driver) + ((log((log(Clim_Sens) + (GDP / (Clim_Sens * 0.21400268))) + log(Other_ESD_Drivers)) + GDP) + -1.7597957)) + (Clim_Sens * 0.7067742)) - -26.90385) * Elast_ESD_Driver) + -0.98499954"
