Complexity,Loss,Equation
1,7.0930595,"32.839336"
3,7.01295,"GDP + 31.764894"
4,6.875563,"exp(GDP) + 29.907362"
5,6.535778,"(GDP * 13.396018) + 18.450087"
7,6.5310593,"(GDP * (Pop + 12.390131)) + 18.440456"
8,6.5268264,"(GDP * 13.426236) + (exp(Pop) + 15.657573)"
9,6.5265975,"(GDP + (Pop + 8.113229)) * (GDP + 2.1443613)"
10,6.5264654,"(GDP * 13.439372) + (exp(Pop) + (Pop + 14.628667))"
12,6.5256615,"(GDP * (((log(Clim_Sens) * 0.3233052) + 12.105011) + Pop)) + 18.357645"
13,6.5178475,"(GDP + (GDP + 2.6425178)) * ((cos(exp(Clim_Sens)) * 0.04283386) + 6.8553185)"
14,6.4780035,"((((sin(Clim_Sens) * -0.20865121) + 3.1765435) + (GDP + GDP)) * 6.763703) - Clim_Sens"
15,6.467344,"((((sin(sin(Clim_Sens)) * -0.23104705) + (GDP + 3.1597297)) + GDP) * 6.786328) - Clim_Sens"
16,6.461211,"((((sin(sin(sin(Clim_Sens))) * -0.25005078) + GDP) + (GDP + 3.1421394)) * 6.8096023) - Clim_Sens"
17,6.3988457,"((GDP + GDP) + 2.5043592) * ((cos(exp(Clim_Sens - 0.9808293) + 3.972159) * 0.110264525) + 7.0750475)"
20,6.3714046,"((cos(3.9454348 + exp(Clim_Sens - 0.98075855)) * (0.1363637 - log(Pop))) + 6.8137536) * ((GDP + GDP) + 2.6763358)"
22,6.369981,"((GDP + GDP) + 2.674854) * ((cos(exp(Clim_Sens - 0.9805136) + 3.945021) * (0.13908857 - (log(Pop) * Pop))) + 6.8165946)"
23,6.3699675,"(GDP + (GDP + 2.674854)) * ((cos(exp(Clim_Sens - 0.9805136) + 3.945021) * (0.13908857 - (log(Pop) * log(Clim_Sens)))) + 6.8165946)"
25,6.3613157,"(GDP + (GDP + 2.674854)) * (((0.13908857 - (log(Pop) * (GDP + log(2.674854)))) * cos(exp(Clim_Sens - 0.9805136) + 3.945021)) + 6.8165946)"
26,6.3599434,"(((0.14261685 - (log(Pop) * (Pop + (Clim_Sens / Clim_Sens)))) * cos(exp(Clim_Sens - 0.98181075) + 3.9567235)) + 6.8379264) * ((GDP + GDP) + 2.6597288)"
28,6.358822,"(((0.13908857 - (log(Pop) * (Pop + (Clim_Sens / (SDR - 0.17239152))))) * cos(3.945021 + exp(Clim_Sens - 0.9805136))) + 6.8165946) * ((GDP + GDP) + 2.674854)"
29,6.3585563,"((GDP + GDP) + 2.674854) * ((cos(exp(Clim_Sens - 0.9805136) + 3.945021) * (0.13908857 - ((log(Pop) * Pop) / ((1.4519969 / Clim_Sens) * log(Clim_Sens))))) + 6.8165946)"
