Complexity,Loss,Equation
1,7.0930595,"32.83953"
3,1.1251534,"Elast_ESD_Driver * 32.87261"
4,1.1037673,"exp(Elast_ESD_Driver) * 12.068037"
5,1.0068017,"(Elast_ESD_Driver * 38.186016) - 5.3341055"
6,0.38393965,"(sin(GDP) * 37.451965) * Elast_ESD_Driver"
7,0.36728078,"((GDP * 15.575515) + 16.148457) * Elast_ESD_Driver"
8,0.20504674,"exp(Elast_ESD_Driver * 2.6674051) + (GDP * 16.97548)"
10,0.16796985,"Other_ESD_Drivers + (((Elast_ESD_Driver * 44.477562) + -8.198721) * sin(GDP))"
12,0.1509464,"(exp(Elast_ESD_Driver * 2.6618273) + (GDP * (Other_ESD_Drivers + 14.920318))) - -1.1878033"
13,0.10023256,"((GDP * (((Elast_ESD_Driver * GDP) + Other_ESD_Drivers) * 4.233722)) + 23.321491) * Elast_ESD_Driver"
14,0.07501608,"(((Other_ESD_Drivers + 2.8822477) * GDP) * 4.116002) + (exp(Elast_ESD_Driver * 2.6610923) - -1.1270113)"
16,0.05483672,"exp((Elast_ESD_Driver * (0.90783995 + (((GDP + Other_ESD_Drivers) * GDP) * 0.14622809))) - -2.2278566) - -0.8761679"
17,0.044378553,"exp(((((GDP * log(Other_ESD_Drivers + 2.4310923)) * 0.4039819) + 0.7041695) * Elast_ESD_Driver) - -2.2172282) + Other_ESD_Drivers"
18,0.044051282,"(exp((((GDP * ((GDP + Other_ESD_Drivers) * 0.14481318)) + 0.91260594) * Elast_ESD_Driver) - -2.2218049) - -2.0546918) - Wind_Inv_Cost"
19,0.041410595,"Other_ESD_Drivers + exp((((log(((GDP + 1.2348815) + Other_ESD_Drivers) * GDP) * 0.41162333) + 0.7083092) * Elast_ESD_Driver) - -2.2267566)"
20,0.037369452,"((GDP - Wind_Inv_Cost) - -1.363616) + exp((Elast_ESD_Driver * (((GDP * (Other_ESD_Drivers + GDP)) * 0.14754671) + 0.9214765)) - -2.1944253)"
21,0.03580261,"exp((Elast_ESD_Driver * ((GDP * ((((log(Wind_Inv_Cost) * -0.34696972) + GDP) + Other_ESD_Drivers) * 0.14647199)) + 0.91749877)) - -2.2139554) + GDP"
23,0.035301223,"exp((Elast_ESD_Driver * ((((GDP * (Other_ESD_Drivers + GDP)) + (log(Wind_Inv_Cost) * -0.35712174)) * 0.14803314) + 0.9219887)) - -2.1981173) + (GDP + 0.25105128)"
25,0.032875277,"((GDP - Wind_Inv_Cost) - -3.3793206) + exp((Elast_ESD_Driver * ((log(Oil_Gas_Poten) * -0.044195727) + (((GDP * (Other_ESD_Drivers + GDP)) * 0.15756398) + 0.98346907))) - -2.0449622)"
