Complexity,Loss,Equation
1,68.695816,"40.290577"
3,25.382372,"Clim_Sens * 12.7193575"
5,13.905942,"(Clim_Sens * 12.731037) * Elast_ESD_Driver"
7,10.440417,"((Clim_Sens * 10.031019) + 8.868933) * Elast_ESD_Driver"
8,4.565031,"Elast_ESD_Driver * (exp(Clim_Sens * 0.74763924) + 28.365667)"
10,3.381987,"Elast_ESD_Driver * ((exp(Clim_Sens * 0.7479009) * Elast_ESD_Driver) + 28.250183)"
12,3.3369145,"(((Elast_ESD_Driver * exp(Clim_Sens * 0.747325)) + 31.603415) * Elast_ESD_Driver) + -3.3403878"
13,2.4498184,"Elast_ESD_Driver * ((exp(Clim_Sens) * (sin(Elast_ESD_Driver * GDP) + -0.58725333)) + 31.733877)"
14,2.2503023,"((((GDP + -0.574543) * exp(Clim_Sens)) * (Elast_ESD_Driver + -0.41957688)) + 31.711618) * Elast_ESD_Driver"
15,2.2181783,"((exp(Clim_Sens) * ((sin(GDP * Elast_ESD_Driver) + -0.5859158) * Other_ESD_Drivers)) + 31.651905) * Elast_ESD_Driver"
16,2.0796463,"Elast_ESD_Driver * ((Clim_Sens - -29.254908) + ((GDP + -0.5999371) * ((Elast_ESD_Driver + -0.43844435) * exp(Clim_Sens))))"
18,1.8945491,"Elast_ESD_Driver * ((((GDP + -0.5999371) * ((Elast_ESD_Driver + -0.43844435) * exp(Clim_Sens))) + (Clim_Sens * Other_ESD_Drivers)) - -29.254908)"
20,1.8700752,"Elast_ESD_Driver * ((27.913225 - ((-0.5548173 - Other_ESD_Drivers) * Clim_Sens)) + (((GDP + -0.6141539) * (Elast_ESD_Driver + -0.45025563)) * exp(Clim_Sens)))"
21,1.649071,"(Elast_ESD_Driver * ((56.866814 - ((25.748962 - Other_ESD_Drivers) * Clim_Sens)) + (((Clim_Sens + GDP) * Clim_Sens) * (Elast_ESD_Driver + 3.5043068)))) - 0.5393536"
23,1.636308,"((50.26346 - (((27.436407 - Other_ESD_Drivers) * Clim_Sens) - 4.7877154)) + (((Clim_Sens * (Elast_ESD_Driver + 3.7311115)) * (GDP + Clim_Sens)) - -3.4544227)) * Elast_ESD_Driver"
26,1.6196759,"((((Clim_Sens * ((Elast_ESD_Driver + 3.6665137) * (GDP + Clim_Sens))) - -3.9244368) + (55.518303 - ((26.92052 - Other_ESD_Drivers) * Clim_Sens))) * Elast_ESD_Driver) - (1.6664336 + log(Elast_ESD_Price))"
28,1.5954591,"(((((Clim_Sens * ((Elast_ESD_Driver + 3.6665137) * (GDP + Clim_Sens))) - -3.9244368) + (55.518303 - ((26.92052 - Other_ESD_Drivers) * Clim_Sens))) * Elast_ESD_Driver) - 1.7223059) + log(Other_ESD_Drivers * 1.0925013)"
