Complexity,Loss,Equation
1,17.617773,"41.672718"
3,4.168082,"Elast_ESD_Driver * 41.760437"
5,2.8524234,"(Elast_ESD_Driver * 59.47766) + -17.78563"
6,2.6677556,"exp(Elast_ESD_Driver * 2.9748077) - -21.742481"
7,1.2134634,"((Elast_ESD_Driver * 57.180912) + -18.3893) * GDP"
8,0.49069482,"exp(GDP + (Elast_ESD_Driver * 2.2244735)) + 14.308201"
10,0.38827425,"exp((Elast_ESD_Driver * 2.2257342) + GDP) - (Biomass_Poten + -15.34709)"
12,0.2220769,"exp(GDP + (Elast_ESD_Driver * 2.225224)) - ((Biomass_Poten * 4.7826424) + -19.555374)"
14,0.18997325,"(exp(GDP + (Elast_ESD_Driver * 2.2252479)) - ((Biomass_Poten * 4.6825323) + -18.432468)) + Other_ESD_Drivers"
16,0.1768581,"(exp((Elast_ESD_Driver * 2.2336903) + GDP) - (((4.2720094 * Biomass_Poten) - Wind_Inv_Cost) + -16.669714)) + Other_ESD_Drivers"
18,0.16046527,"(exp(GDP + (Elast_ESD_Driver * 2.2244813)) - ((Biomass_Poten * 4.777835) + ((Other_ESD_Drivers * -3.2591863) + -16.685026))) + -0.40340474"
20,0.14451772,"(exp(GDP + (Elast_ESD_Driver * 2.2249932)) + (((Wind_Inv_Cost - -1.939848) * Other_ESD_Drivers) - ((Biomass_Poten * 4.8577) + -16.469378))) - -0.1054075"
22,0.13242577,"Other_ESD_Drivers + (exp(GDP + (Elast_ESD_Driver * 2.228271)) - (((((Wind_Inv_Cost + Other_ESD_Drivers) - GDP) * -1.8834261) + (Biomass_Poten * 4.849132)) + -16.617073))"
24,0.13056882,"(Other_ESD_Drivers + exp(GDP + (Elast_ESD_Driver * 2.2295346))) - (((-2.334204 / Biomass_Poten) * ((Wind_Inv_Cost + Other_ESD_Drivers) - GDP)) + ((Biomass_Poten * 2.451837) + -13.678322))"
26,0.11500102,"(exp((Elast_ESD_Driver * 2.2237113) + GDP) + (((Wind_Inv_Cost - -0.59402984) * (Other_ESD_Drivers / 0.49633145)) - (cos(sin(SDR)) + (-17.307413 + (Biomass_Poten * 4.569162))))) - 0.59239787"
27,0.11346002,"(((Wind_Inv_Cost - -0.7873582) * (Other_ESD_Drivers / 0.5344994)) - (cos(exp(cos(SDR))) + ((Biomass_Poten * 4.6630507) + -17.27739))) + (exp(GDP + (Elast_ESD_Driver * 2.2253306)) - 0.62205434)"
28,0.106122315,"exp(GDP + (Elast_ESD_Driver * 2.2250845)) + ((((Wind_Inv_Cost - -0.71886384) * (Other_ESD_Drivers / 0.5082042)) - ((Biomass_Poten * 4.616211) + (cos(sin(exp(cos(SDR)))) + -17.276028))) - 0.6398322)"
