Complexity,Loss,Equation
1,5624.16,"811.9802"
3,2290.3557,"Elast_ESD_Driver * 811.86487"
4,2281.9712,"exp(Elast_ESD_Driver) * 298.0234"
5,2257.8862,"(Clim_Sens + 808.7444) * Elast_ESD_Driver"
7,1704.8008,"((Clim_Sens + 19.709263) * 35.560963) * Elast_ESD_Driver"
9,1479.0665,"((Clim_Sens + (GDP * 14.213971)) * 44.08906) * Elast_ESD_Driver"
11,1252.8212,"Elast_ESD_Driver * ((((GDP * 9.890457) + Clim_Sens) + 7.865259) * 37.55918)"
13,1188.1068,"Elast_ESD_Driver * ((((GDP * (Biomass_Poten + 8.4776535)) + Clim_Sens) + 7.532814) * 38.758797)"
14,1128.007,"(cos(Delay) + 41.527626) * ((Clim_Sens + ((GDP * 8.991573) + 6.7140436)) * Elast_ESD_Driver)"
16,1064.2074,"(Elast_ESD_Driver * ((GDP * 8.792364) + ((Clim_Sens + Biomass_Poten) + 5.48241))) * (cos(Delay) + 42.277798)"
18,1038.4734,"(Elast_ESD_Driver * ((Biomass_Poten + Clim_Sens) + ((GDP * 9.574131) + 6.4487314))) * (cos(Delay - -1.2864376) + 38.991817)"
21,968.23535,"(((Temp_Limit * 25.806602) + ((((GDP * 6.0756955) + 3.2274387) + Clim_Sens) * 62.298203)) * Elast_ESD_Driver) - ((Clim_Sens / 0.13517782) * Temp_Limit)"
23,889.3293,"(Elast_ESD_Driver * ((((Clim_Sens + 2.2449043) + (Biomass_Poten + (GDP * 6.069184))) * 61.781193) + (Temp_Limit * 25.296824))) - (Temp_Limit * (Clim_Sens / 0.13801669))"
25,887.5096,"(Elast_ESD_Driver * ((Temp_Limit * 26.218882) + (((Biomass_Poten + 2.030254) + (Clim_Sens + (GDP * 6.003407))) * 62.688686))) - (((Temp_Limit * Clim_Sens) / 0.13259369) + -6.4080305)"
26,811.68933,"(Elast_ESD_Driver * (((cos(Delay) + Temp_Limit) * 17.669456) + (((GDP * 6.3913717) + (Clim_Sens + (2.7400541 + Biomass_Poten))) * 58.66229))) - (Temp_Limit * (Clim_Sens / 0.16724169))"
28,803.57227,"(((((Biomass_Poten + (GDP * 6.342267)) + (Clim_Sens + 2.7492855)) * 58.982433) + ((Temp_Limit + cos(Delay)) * 17.746725)) * Elast_ESD_Driver) - (Temp_Limit * ((Clim_Sens / 0.15691207) - Biomass_Poten))"
