Complexity,Loss,Equation
1,7.0930586,"32.838448"
3,7.0129495,"GDP + 31.764723"
4,6.6000266,"sin(GDP) * 37.4022"
5,6.535777,"(GDP * 13.388811) + 18.457775"
7,6.5273743,"(Pop + 12.351158) * (GDP + 1.3827652)"
9,6.5103407,"(-0.039702505 / sin(Clim_Sens)) + (sin(GDP) * 37.426838)"
10,6.433934,"(GDP * 13.536793) + ((-0.00083462417 / log(GDP)) + 18.304533)"
12,6.373658,"(((-0.037344504 / sin(Clim_Sens / 0.07829845)) + 13.790184) * GDP) + 17.960442"
15,6.315379,"((29.138395 - sin((0.035653885 / sin(Clim_Sens)) * exp(Clim_Sens))) * sin(GDP)) + 7.4415836"
17,6.3152056,"((sin((-0.07510243 - exp(Clim_Sens)) * (0.03565307 / sin(Clim_Sens))) + 29.138395) * sin(GDP)) + 7.4670568"
18,6.310182,"log(Pop) + (((29.138395 - sin(exp(Clim_Sens) * (0.035653885 / sin(Clim_Sens)))) * sin(GDP)) + 7.4415836)"
20,6.2869697,"((sin((0.013721703 / sin(SDR)) - (exp(Clim_Sens) * (0.03550933 / sin(Clim_Sens)))) + 29.116112) * sin(GDP)) + 7.4415836"
21,6.2868586,"((sin((0.013721703 / sin(sin(SDR))) - ((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens))) + 29.116112) * sin(GDP)) + 7.4415836"
22,6.241534,"7.4415836 + (sin(GDP) * (29.116112 + sin((0.024536844 / sin(Clim_Sens + SDR)) - (exp(Clim_Sens) * (0.03550933 / sin(Clim_Sens))))))"
24,6.235115,"(sin(GDP) * (29.116112 + (GDP * sin((0.024536844 / sin(SDR + Clim_Sens)) - ((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens)))))) + 7.4415836"
25,6.228263,"7.4415836 + (sin(GDP) * (29.116112 + (sin((0.024536844 / sin(SDR + Clim_Sens)) - ((0.03550933 / sin(Clim_Sens)) * exp(Clim_Sens))) * log(Clim_Sens))))"
27,6.2260885,"7.4415836 + (sin(GDP) * (29.116112 + ((GDP * log(Clim_Sens)) * sin((0.024536844 / sin(SDR + Clim_Sens)) - (exp(Clim_Sens) * (0.03550933 / sin(Clim_Sens)))))))"
28,6.2237678,"(((sin((0.024536844 / sin(SDR + Clim_Sens)) - ((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens))) * log(sin(-1.5758823) + SDR)) + 29.116112) * sin(GDP)) + 7.4415836"
29,6.221397,"7.4415836 + (((sin((0.03550933 / sin(SDR + Clim_Sens)) - ((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens))) * (-0.3742751 + (log(SDR) * GDP))) + 29.116112) * sin(GDP))"
30,6.2207136,"(((sin((0.024536844 / sin(SDR + Clim_Sens)) - ((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens))) * log((sin(-1.5758823) + SDR) * GDP)) + 29.116112) * sin(GDP)) + 7.4415836"
