Complexity,Loss,Equation
1,7.0930595,"32.83926"
3,7.0129495,"GDP + 31.764723"
4,6.6000266,"sin(GDP) * 37.4022"
5,6.535777,"(GDP * 13.388811) + 18.457775"
7,6.5310593,"(GDP * (Pop + 12.390166)) + 18.440424"
9,6.5103407,"(-0.039702505 / sin(Clim_Sens)) + (sin(GDP) * 37.426838)"
10,6.457025,"((-0.03734448 / sin(Clim_Sens)) + 17.960442) + (GDP * 13.870487)"
11,6.4528465,"((GDP * 13.86846) + sin(-0.04831842 / sin(Clim_Sens))) + 17.96077"
13,6.404718,"((-0.027572777 / sin(Clim_Sens - 0.03980808)) + (sin(GDP) * 28.82623)) + 7.4649105"
14,6.402566,"((sin(-8.57647 - (-210.29933 / sin(Clim_Sens))) + 32.607353) * sin(GDP)) + 4.1702437"
15,6.315793,"((29.138395 - sin(exp(Clim_Sens) * (0.035653885 / sin(Clim_Sens)))) * sin(GDP)) + 7.4670568"
17,6.3152065,"((sin(((-0.0751022 - exp(Clim_Sens)) * 0.035653885) / sin(Clim_Sens)) + 29.138395) * sin(GDP)) + 7.4670568"
21,6.304616,"((sin((sin(exp(SDR)) * 0.15310411) - ((exp(Clim_Sens) / sin(Clim_Sens)) * 0.035653885)) + 29.138395) * sin(GDP)) + 7.4670568"
25,6.2992134,"((sin(GDP) * 28.059885) + 8.173898) + (-0.031360615 / sin(Clim_Sens - (sin(GDP) / ((GDP / cos((SDR / 0.9129789) - Clim_Sens)) + 23.771994))))"
26,6.2786536,"(-0.031360704 / sin(Clim_Sens - (cos(cos(GDP)) / (23.771994 + (GDP / cos(Clim_Sens - (SDR / 0.9129702))))))) + ((28.059885 * sin(GDP)) + 8.173898)"
30,6.272913,"((sin(GDP) * (28.059885 + (-0.031360704 / sin(Clim_Sens - (cos(cos(GDP)) / ((GDP / cos((SDR / 0.9129702) - Clim_Sens)) + 23.771994)))))) + (Pop - GDP)) + 8.173898"
