Complexity,Loss,Equation
1,7.0930586,"32.838448"
3,1.1251533,"Elast_ESD_Driver * 32.872562"
4,1.1037669,"exp(Elast_ESD_Driver + 2.4905565)"
5,1.0068015,"(Elast_ESD_Driver * 38.186092) - 5.3340282"
6,0.38393962,"Elast_ESD_Driver * (sin(GDP) * 37.45217)"
7,0.34303907,"exp(sin(GDP) + (Elast_ESD_Driver + 1.6125916))"
8,0.19869491,"exp((GDP - -1.5927874) * Elast_ESD_Driver) + 18.229826"
9,0.17819935,"exp((Elast_ESD_Driver * (sin(GDP) + 0.31319785)) + 2.2979136)"
10,0.14786182,"(exp((GDP - -1.5926161) * Elast_ESD_Driver) + 17.223953) + Other_ESD_Drivers"
11,0.070490316,"exp(Elast_ESD_Driver + (sin(GDP) + 1.756155)) - (5.110518 / Other_ESD_Drivers)"
12,0.049617864,"exp((Elast_ESD_Driver * (GDP - -1.3659121)) + (Other_ESD_Drivers * 0.3117917)) + 16.925627"
13,0.042475358,"exp(((sin(GDP) + ((Elast_ESD_Driver * 0.15098308) * Other_ESD_Drivers)) * Elast_ESD_Driver) + 2.4581923)"
14,0.040607415,"(exp((Other_ESD_Drivers * 0.31263614) + (Elast_ESD_Driver * (GDP - -1.3650761))) - Wind_Inv_Cost) + 18.009205"
15,0.040501066,"17.95748 + (exp(sin(Other_ESD_Drivers * 0.33054847) + ((GDP - -1.3565747) * Elast_ESD_Driver)) - Wind_Inv_Cost)"
16,0.03639472,"(exp(((GDP - -1.3621508) * Elast_ESD_Driver) + (Other_ESD_Drivers * 0.31575328)) + 18.04989) - (Wind_Inv_Cost * Oil_Gas_Poten)"
17,0.033158395,"17.670927 + (exp(GDP + ((log(Elast_ESD_Driver) + (0.29901817 * Other_ESD_Drivers)) - (Elast_ESD_Driver * -1.4021134))) - Wind_Inv_Cost)"
18,0.03289122,"exp(sin(log(Elast_ESD_Driver) + (Other_ESD_Drivers * 0.3076866)) + (GDP - (Elast_ESD_Driver * -1.4149976))) + (17.413385 - Wind_Inv_Cost)"
19,0.029434523,"(exp(log(Elast_ESD_Driver) + ((Other_ESD_Drivers * 0.30074936) + (GDP - (Elast_ESD_Driver * -1.4003979)))) + 17.714363) - (Oil_Gas_Poten * Wind_Inv_Cost)"
20,0.029320534,"(17.464035 - (Wind_Inv_Cost * Oil_Gas_Poten)) + exp((GDP + sin((Other_ESD_Drivers * 0.30813488) + log(Elast_ESD_Driver))) - (Elast_ESD_Driver * -1.4141892))"
21,0.028073583,"(exp(((GDP + log(Elast_ESD_Driver)) + (Other_ESD_Drivers * 0.30188996)) - (Elast_ESD_Driver * -1.3996688)) - (Wind_Inv_Cost * (Oil_Gas_Poten + 0.5646845))) + 18.319525"
22,0.026027713,"(exp(((log(Elast_ESD_Driver) + (Other_ESD_Drivers * 0.3026955)) + GDP) - (-1.3996683 * Elast_ESD_Driver)) - (sin(Wind_Inv_Cost / -0.25417715) + Oil_Gas_Poten)) + 18.479532"
23,0.025964245,"exp((GDP + (Other_ESD_Drivers * 0.30337718)) + (log(Elast_ESD_Driver) - (Elast_ESD_Driver * -1.3990089))) + (18.339933 - (sin(cos(Wind_Inv_Cost / -0.18677332)) + Oil_Gas_Poten))"
24,0.025907313,"(exp(((Other_ESD_Drivers * 0.3011136) + log(Elast_ESD_Driver)) + (GDP - (Elast_ESD_Driver * -1.3996636))) + 18.683796) - (sin(Solar_PV_Inv_Cost * 1.4821864) * (Oil_Gas_Poten + Wind_Inv_Cost))"
25,0.025464168,"(exp((log(Elast_ESD_Driver) + (Other_ESD_Drivers * 0.30244648)) + (GDP - (Elast_ESD_Driver * -1.39903))) + 18.770102) - (Wind_Inv_Cost * (Oil_Gas_Poten + sin(exp(Solar_PV_Inv_Cost) * 0.55161285)))"
26,0.02414013,"(exp(((log(Elast_ESD_Driver) + GDP) - (Elast_ESD_Driver * -1.3995537)) + (Other_ESD_Drivers * 0.3011602)) + 18.755121) - (Wind_Inv_Cost * (Oil_Gas_Poten + sin((Solar_PV_Inv_Cost + 0.35524842) * Solar_PV_Inv_Cost)))"
27,0.02312412,"(exp(((log(Elast_ESD_Driver) + (Other_ESD_Drivers * 0.30082953)) + GDP) - (Elast_ESD_Driver * -1.3999844)) + 18.656204) - ((sin(Solar_PV_Inv_Cost * 1.4827663) * Wind_Inv_Cost) * (sin(Solar_Poten) + Oil_Gas_Poten))"
29,0.02257958,"(18.657404 + exp((0.30076054 * Other_ESD_Drivers) + ((log(Elast_ESD_Driver) - (-1.3994584 * Elast_ESD_Driver)) + GDP))) - ((sin((Solar_PV_Inv_Cost * 1.5803599) / Wind_Inv_Cost) * Wind_Inv_Cost) * (sin(Solar_Poten) + Oil_Gas_Poten))"
