Complexity,Loss,Equation
1,68.695816,"40.286957"
3,25.38237,"Clim_Sens * 12.719315"
5,21.600498,"(GDP + Clim_Sens) * 9.581504"
6,17.388916,"exp(Clim_Sens / 1.3418217) + 28.392485"
8,16.413399,"exp((Clim_Sens / 1.8281579) + GDP) + 22.777391"
9,15.835182,"(exp(cos(GDP + Clim_Sens)) * 14.104378) + 29.263641"
10,15.639918,"((GDP * (Clim_Sens + cos(Clim_Sens))) * 8.5002165) + 18.944885"
11,15.361933,"((exp(cos(Clim_Sens + GDP)) + GDP) * 14.136221) + 14.054251"
12,15.357961,"((log(GDP) + exp(cos(GDP + Clim_Sens))) * 14.143215) + 28.241098"
13,15.247482,"((exp(cos((GDP + Clim_Sens) * 1.0190189)) + GDP) * 13.261697) + 14.979926"
14,15.247078,"((exp(cos((GDP + 0.08933476) + Clim_Sens)) + log(GDP)) * 13.417931) + 28.137823"
15,15.176165,"((exp(Pop * cos((Clim_Sens + GDP) * 1.0215086)) + GDP) * 12.927161) + 15.523368"
17,15.032469,"(((GDP + exp(cos(Clim_Sens + GDP))) * 13.889466) + 14.6529455) + cos(exp(Clim_Sens - 1.3173436))"
18,14.732921,"(((exp(cos(Clim_Sens + GDP)) + GDP) * 13.556197) + 15.401167) + cos(exp(exp(Clim_Sens - 2.5779579)))"
20,14.671802,"((((Pop * exp(cos(Clim_Sens + GDP))) + GDP) * 13.52591) + 15.285055) + cos(exp(exp(Clim_Sens - 2.578144)))"
22,14.576408,"(GDP * (exp(sin(Clim_Sens / 1.0349509) * (-2.853703 - (sin(SDR * -32.614296) * -0.28856623))) - (Clim_Sens * -4.499147))) + 22.609125"
23,14.448171,"((exp(sin(Clim_Sens) * (-2.877184 - (sin(SDR * -32.588383) * log(SDR / Clim_Sens)))) - (Clim_Sens * -3.7760766)) * GDP) + 24.474915"
24,14.307147,"((exp((Pop * (-2.824509 - (sin(SDR * -32.65544) * -0.29259843))) * sin(Clim_Sens / 1.0332252)) + 21.35229) * GDP) - (Clim_Sens * -4.704852)"
25,14.103865,"((GDP * 22.771297) + exp(sin(Clim_Sens) * (Pop * (-2.87868 - (sin(Clim_Sens / 1.334083) * sin(SDR * -32.636852)))))) - (Clim_Sens * -4.0784893)"
26,14.075526,"(GDP * (exp(sin(Clim_Sens) * (Pop * (-2.856361 - (sin(SDR * -32.62249) * ((SDR / Clim_Sens) - GDP))))) + 23.101599)) - (Clim_Sens * -3.923326)"
27,13.88592,"exp((Pop * sin(Clim_Sens)) * (-2.8797944 - (sin((Clim_Sens / 1.3624473) * Pop) * sin(SDR * -32.656155)))) + ((GDP * 22.829655) - (Clim_Sens * -4.054516))"
28,13.87541,"((exp(sin(Clim_Sens / 1.0216594) * ((-2.8499665 - (((SDR / Clim_Sens) - GDP) * sin(SDR * -32.629955))) * Pop)) + 22.152622) * GDP) - (Clim_Sens * -4.3613434)"
29,13.664905,"(Pop * (exp(Pop * ((-2.849731 - (sin(SDR * -32.666866) * sin(Clim_Sens / 1.3304671))) * sin(Clim_Sens / Pop))) - (Clim_Sens * -4.37969))) + (GDP * 21.928055)"
30,13.652815,"((exp((Pop * sin(Clim_Sens / Pop)) * (-2.8576345 - (sin(Clim_Sens / 1.3166875) * sin(sin(SDR * -32.66839))))) - (Clim_Sens * -4.372924)) * Pop) + (GDP * 21.923357)"
