Complexity,Loss,Equation
1,68.695816,"40.290573"
3,25.382372,"Clim_Sens * 12.7193575"
5,13.90594,"(Clim_Sens * 12.731031) * Elast_ESD_Driver"
6,13.844213,"Clim_Sens * exp(Elast_ESD_Driver + 1.5419402)"
7,9.683555,"(Elast_ESD_Driver * 9.593934) * (GDP + Clim_Sens)"
8,4.5650105,"(exp(Clim_Sens * 0.7477434) + 28.361866) * Elast_ESD_Driver"
10,3.1336951,"Elast_ESD_Driver * ((GDP * 26.25478) + exp(Clim_Sens * 0.75145257))"
11,3.0225186,"((exp(Clim_Sens * 0.7768305) + 32.713577) * sin(GDP)) * Elast_ESD_Driver"
12,1.810948,"((Elast_ESD_Driver * exp(0.7516409 * Clim_Sens)) + (GDP * 26.152836)) * Elast_ESD_Driver"
13,1.6860005,"(sin(GDP) * Elast_ESD_Driver) * ((Elast_ESD_Driver * exp(Clim_Sens * 0.7774146)) + 32.575245)"
14,1.6220337,"((Elast_ESD_Driver * (Elast_ESD_Driver * (exp(Clim_Sens * 0.73848206) + 14.396691))) * GDP) + 12.280319"
15,1.5505655,"(((exp(Clim_Sens * 0.77658725) + 19.145844) * (Elast_ESD_Driver * Elast_ESD_Driver)) - -13.368127) * sin(GDP)"
16,1.4510133,"(((Elast_ESD_Driver * exp(0.7780766 * (Clim_Sens + log(Other_ESD_Drivers)))) + 32.489983) * Elast_ESD_Driver) * sin(GDP)"
17,1.3919253,"(((Elast_ESD_Driver * Elast_ESD_Driver) * GDP) * (exp(Clim_Sens * 0.73923904) + 14.5460415)) + (sin(Other_ESD_Drivers) * 14.32517)"
18,1.2936513,"(((Elast_ESD_Driver * (exp(Clim_Sens * 0.75551105) + 15.574261)) - (Clim_Sens / Other_ESD_Drivers)) * (Elast_ESD_Driver * GDP)) + 13.602082"
19,1.2674587,"((Elast_ESD_Driver * Elast_ESD_Driver) * ((GDP * (exp(Clim_Sens * 0.740376) + 14.698816)) - sin(Clim_Sens * -3.2150884))) + 11.849007"
20,1.1685407,"(((Elast_ESD_Driver * (exp(Clim_Sens * 0.7571641) + 15.744695)) - (Biomass_Poten * (Clim_Sens / Other_ESD_Drivers))) * (Elast_ESD_Driver * GDP)) + 13.681549"
22,1.0567772,"((Elast_ESD_Driver * Elast_ESD_Driver) * ((GDP * (exp(Clim_Sens * 0.74111897) + 14.872991)) - sin(Clim_Sens * -3.2165134))) + (sin(Other_ESD_Drivers) * 13.781209)"
23,0.9865608,"(sin(Other_ESD_Drivers) * 14.071381) + (GDP * ((Elast_ESD_Driver * Elast_ESD_Driver) * ((exp(Clim_Sens * 0.7440849) + 14.190517) - sin(Clim_Sens * cos(Clim_Sens)))))"
24,0.90907085,"Elast_ESD_Driver * (sin(Clim_Sens * -3.8982763) + (((((GDP * (Elast_ESD_Driver - (Other_ESD_Drivers * -0.45703647))) + -6.0730658) + Clim_Sens) * (Clim_Sens * 4.7795415)) + 58.537983))"
25,0.8964922,"Elast_ESD_Driver * (sin(Clim_Sens / -0.25621423) + (((Clim_Sens + ((GDP * (Elast_ESD_Driver - (sin(Other_ESD_Drivers) * -0.7267824))) + -6.2108765)) * (Clim_Sens * 4.7270236)) + 57.958874))"
26,0.8041209,"Elast_ESD_Driver * ((Clim_Sens * ((((Clim_Sens + -5.844191) + (GDP * (Elast_ESD_Driver - (Other_ESD_Drivers * -0.46287477)))) * 4.772643) - Biomass_Poten)) + (sin(Clim_Sens / -0.25634548) + 58.4465))"
27,0.7913946,"((Clim_Sens * (((Clim_Sens + (((Elast_ESD_Driver - (sin(Other_ESD_Drivers) * -0.73690397)) * GDP) + -5.982277)) * 4.720363) - Biomass_Poten)) + (57.86953 + sin(Clim_Sens / -0.25602993))) * Elast_ESD_Driver"
28,0.74175376,"sin(Clim_Sens * (Clim_Sens / -1.7416613)) + (((Clim_Sens * ((((((Elast_ESD_Driver - (Other_ESD_Drivers * -0.4468048)) * GDP) + -5.836879) + Clim_Sens) * 4.871039) - Biomass_Poten)) + 58.788597) * Elast_ESD_Driver)"
29,0.72895783,"(Elast_ESD_Driver * (((((Clim_Sens + ((GDP * (Elast_ESD_Driver - (sin(Other_ESD_Drivers) * -0.710504))) + -5.969896)) * 4.8199825) - Biomass_Poten) * Clim_Sens) + 58.226807)) + sin(Clim_Sens * (Clim_Sens / -1.7386097))"
30,0.72804403,"sin((Clim_Sens * Clim_Sens) / -1.7389252) + (((Clim_Sens * ((((Clim_Sens + ((Elast_ESD_Driver - sin(sin(Other_ESD_Drivers * -0.63731617))) * GDP)) + -5.934846) * 4.828597) - Biomass_Poten)) + 58.31184) * Elast_ESD_Driver)"
