Complexity,Loss,Equation
1,7.0930586,"32.838448"
3,7.0129495,"GDP + 31.764723"
4,6.6000266,"sin(GDP) * 37.4022"
5,6.535777,"(GDP * 13.388811) + 18.457775"
7,6.5273733,"(Pop + 12.3531) * (GDP + 1.3824357)"
8,6.5268273,"(GDP * 13.426717) + (exp(Pop) + 15.657088)"
9,6.51034,"(sin(GDP) * 37.426884) + (-0.03967499 / sin(Clim_Sens))"
10,6.433934,"(GDP * 13.536793) + ((-0.00083462417 / log(GDP)) + 18.304533)"
11,6.4183893,"sin(sin(GDP)) * (exp(-0.059411727 / sin(Clim_Sens)) + 41.63796)"
12,6.373658,"(((-0.037344504 / sin(Clim_Sens / 0.07829845)) + 13.790184) * GDP) + 17.960442"
13,6.3691096,"(-0.056151923 / sin(Clim_Sens / 0.07827135)) + ((sin(GDP) * 29.013863) + 7.309275)"
14,6.3646274,"(GDP * (13.790184 + ((-0.15184863 / Clim_Sens) / sin(Clim_Sens / 0.07828139)))) + 17.960442"
15,6.315379,"((29.138395 - sin((0.035653885 / sin(Clim_Sens)) * exp(Clim_Sens))) * sin(GDP)) + 7.4415836"
17,6.3151407,"(sin(GDP) * (sin(((-0.10387994 - exp(Clim_Sens)) * 0.03565307) / sin(Clim_Sens)) + 29.138395)) + 7.4670568"
18,6.310182,"log(Pop) + (((29.138395 - sin(exp(Clim_Sens) * (0.035653885 / sin(Clim_Sens)))) * sin(GDP)) + 7.4415836)"
19,6.303589,"7.4415836 + (sin(GDP) * (29.116112 - (sin(exp(Clim_Sens) * (0.03550933 / sin(Clim_Sens))) * sin(log(SDR)))))"
20,6.2739,"((sin(GDP) * 29.116112) - (log(SDR + -1.608608) * sin((exp(Clim_Sens) * 0.03550933) / sin(Clim_Sens)))) + 7.4415836"
21,6.2598643,"((sin(GDP) * 29.116112) - (sin((0.03550933 / sin(Clim_Sens)) * exp(Clim_Sens)) * cos(GDP + sin(SDR)))) + 7.4415836"
22,6.2407246,"((sin(0.03550933 * ((0.7367614 / sin(SDR + Clim_Sens)) - (exp(Clim_Sens) / sin(Clim_Sens)))) + 29.116112) * sin(GDP)) + 7.4415836"
23,6.226676,"(sin(GDP) * (sin((0.029618144 / sin(SDR + sin(Clim_Sens))) - ((exp(Clim_Sens) / sin(Clim_Sens)) * 0.03550933)) + 29.116112)) + 7.4415836"
24,6.171623,"sin((0.03076999 / sin(Clim_Sens + (1.218794 - GDP))) - ((exp(Clim_Sens) * 0.035577305) / sin(Clim_Sens))) + ((sin(GDP) * 29.146452) + 7.4816318)"
26,6.16318,"(29.146452 * sin(GDP)) + (7.4755263 + sin((0.030754521 / (sin((1.2187666 + Clim_Sens) - GDP) * 0.9569578)) - ((0.035588805 / sin(Clim_Sens)) * exp(Clim_Sens))))"
