Complexity,Loss,Equation
1,68.695816,"40.286957"
3,25.382372,"Clim_Sens * 12.7193575"
5,21.600498,"(GDP + Clim_Sens) * 9.581504"
6,17.388918,"exp(Clim_Sens / 1.3418338) + 28.393845"
8,16.413399,"exp((Clim_Sens / 1.8281579) + GDP) + 22.777391"
9,15.835182,"(exp(cos(GDP + Clim_Sens)) * 14.104378) + 29.263641"
11,15.361937,"((GDP + exp(cos(Clim_Sens + GDP))) * 14.13632) + 14.054179"
12,15.357964,"((exp(cos(Clim_Sens + GDP)) + log(GDP)) * 14.142866) + 28.241035"
13,15.2482395,"((exp(sin((GDP + -4.6221647) + Clim_Sens)) + GDP) * 13.402625) + 14.68833"
15,15.178906,"((exp(sin(Clim_Sens + (-4.611442 + GDP)) * Pop) + GDP) * 13.090121) + 15.194035"
18,15.175387,"exp(GDP + 1.4224193) + ((exp(Pop * sin((Clim_Sens + 1.6715547) + GDP)) * 13.09674) + 17.091202)"
19,15.116182,"(exp(Pop * (sin(Clim_Sens + -0.07613716) * -2.9134204)) + 23.898645) - ((GDP - 0.38891366) * (Clim_Sens * -6.365022))"
21,15.097097,"exp(((Pop * -2.28236) * sin(Clim_Sens + -0.13880616)) + 0.75410724) + (25.743855 - (Clim_Sens * ((GDP - 0.5296794) * -6.434364)))"
22,14.807711,"(24.832598 + exp(sin(Clim_Sens) * (-2.9568906 - (-0.21868472 * sin(SDR * -32.63121))))) - (-6.5008554 * ((GDP - 0.46525332) * Clim_Sens))"
24,14.525663,"exp((Pop * (-2.9262326 - (cos(SDR * -33.10382) * -0.22064419))) * sin(Clim_Sens)) + (25.109116 - ((Clim_Sens * (GDP - 0.4808183)) * -6.5017514))"
25,14.385966,"exp((-2.9001832 - (sin(SDR * -32.636948) * log(SDR / Clim_Sens))) * sin(Clim_Sens)) + (23.92457 - (Clim_Sens * ((GDP - 0.44582623) * -6.8761587)))"
26,14.225924,"exp((-2.8840349 - (sin(SDR * -32.655624) * -0.29061323)) * (sin(Clim_Sens + -0.12645294) * Pop)) + (23.09058 - ((GDP - 0.32514995) * (Clim_Sens * -6.2625585)))"
27,14.179512,"(exp((Pop * (-2.9001832 - (sin(SDR * -32.636948) * log(SDR / Clim_Sens)))) * sin(Clim_Sens)) + 23.92457) - ((Clim_Sens * (GDP - 0.44582623)) * -6.8761587)"
28,14.1107235,"(23.222193 - (Clim_Sens * ((GDP - 0.35049525) * -6.4068074))) + exp(((-2.8821864 - ((sin(SDR * -32.66019) * -1.1142536) / SDR)) * sin(Clim_Sens + -0.11697285)) * Pop)"
29,13.975828,"exp((Pop * (-2.9001832 - (sin(-32.636948 * SDR) * log(SDR / Clim_Sens)))) * sin(Clim_Sens + -0.06604038)) + (23.92457 - (Clim_Sens * ((GDP - 0.44582623) * -6.8761587)))"
