Complexity,Loss,Equation
1,367.72156,"53.693096"
3,99.34171,"Clim_Sens * 17.491596"
5,67.26451,"(Clim_Sens * 25.701614) - 26.951153"
7,34.619278,"(Elast_ESD_Driver * (Clim_Sens * 25.685091)) - 26.907288"
8,33.45307,"exp(((Clim_Sens * Elast_ESD_Driver) * 0.42631745) - -2.599227)"
9,28.319635,"(Clim_Sens * ((29.49807 - SDR) * Elast_ESD_Driver)) + -26.453894"
11,22.15049,"(((Elast_ESD_Driver * (Clim_Sens * 97.63986)) - 267.781) / SDR) + 43.517727"
13,19.735596,"(((((Clim_Sens * 91.85488) * Elast_ESD_Driver) - 245.28221) * GDP) / SDR) + 41.64666"
14,18.893831,"(((((Elast_ESD_Driver * 112.65811) * Clim_Sens) - 307.50534) / SDR) + 49.099735) * sin(GDP)"
15,18.632015,"Elast_ESD_Driver * (((((Elast_ESD_Driver * (Clim_Sens * 14.301941)) * Clim_Sens) - 110.067314) / SDR) + 43.671734)"
17,13.955393,"((((Clim_Sens * (((Clim_Sens * GDP) * 13.592679) * Elast_ESD_Driver)) - 110.70389) / SDR) + 43.136463) * Elast_ESD_Driver"
19,13.852986,"(Elast_ESD_Driver * ((((Clim_Sens * ((Clim_Sens * 13.603214) * (GDP * Elast_ESD_Driver))) - 110.85073) / SDR) + 42.139633)) + Other_ESD_Drivers"
20,13.37586,"(((((10.264244 - (SDR + Biomass_Poten)) * Clim_Sens) * Clim_Sens) + (SDR * 5.028707)) * Elast_ESD_Driver) * log(GDP + Elast_ESD_Driver)"
21,13.300891,"(((((SDR * 3.9279578) + (((SDR * -1.4897836) + 9.363405) * Clim_Sens)) * Elast_ESD_Driver) - 14.926995) * (Clim_Sens * GDP)) + 13.202942"
22,13.13841,"(((Clim_Sens * (Clim_Sens * (10.320646 - (Biomass_Poten + SDR)))) + (5.9874225 * SDR)) + -4.480449) * (log(GDP + Elast_ESD_Driver) * Elast_ESD_Driver)"
23,12.102333,"(Clim_Sens * (((((SDR * 3.9512405) + (((SDR * -1.5010551) + (10.503219 - Biomass_Poten)) * Clim_Sens)) * Elast_ESD_Driver) - 14.973521) * GDP)) + 13.120088"
25,11.771113,"(Elast_ESD_Driver * (((((((SDR * -1.6892904) - Biomass_Poten) + 10.926088) * (GDP * Clim_Sens)) - 16.642326) + (SDR * 4.949598)) * (Elast_ESD_Driver * Clim_Sens))) + 9.47936"
27,11.58264,"((Elast_ESD_Driver * Elast_ESD_Driver) * ((((SDR * 4.9632864) - 15.667695) + ((Clim_Sens * ((((SDR * -1.6925849) - Biomass_Poten) + 10.945302) * GDP)) - Elast_ESD_Price)) * Clim_Sens)) + 9.532086"
28,11.548695,"Elast_ESD_Driver * ((((Elast_ESD_Driver + log(GDP)) * Clim_Sens) * ((((((10.027538 + Other_ESD_Drivers) - Biomass_Poten) + (SDR * -1.6142043)) * Clim_Sens) + (SDR * 4.381608)) - 17.170198)) + 13.817195)"
29,11.406686,"(Clim_Sens * ((Elast_ESD_Driver * Elast_ESD_Driver) * (((((Clim_Sens * GDP) * ((SDR * -1.6845963) + (10.887182 - Biomass_Poten))) - Elast_ESD_Price) + (SDR * 4.9415174)) - 15.32246))) + (Other_ESD_Drivers * 8.922403)"
30,11.381658,"((((((Clim_Sens * ((Other_ESD_Drivers + 10.034672) - (Biomass_Poten + (SDR * 1.6187242)))) + (SDR * 4.3982043)) - 16.096474) - Elast_ESD_Price) * ((log(GDP) + Elast_ESD_Driver) * Clim_Sens)) + 13.6942835) * Elast_ESD_Driver"
